ID,Sentence,Analyzed,Gloss,Translation,Text_ID,Sentence_Number,Phrase_Number
137,χsutsqhɑle:ȵɑ etʂepekəi,χsutsqhɑ-le:-ȵɑ e-tʂepe-kəi,stomach-DEF:CL-and DIR-encounter-NAR,"and came across a stomach,",3,21,3
138,χsutsqhɑle:ȵɑ etʂepekəitu,χsutsqhɑ-le:-ȵɑ e-tʂepe-kəi-tu,stomach-DEF:CL-and DIR-encounter-NAR-LNK,he came across a stomach.,3,21,4
139,χsutsqhɑle:wu təkeʴlkui,χsutsqhɑ-le:-wu tə-keʴl-kui,stomach-DEF:CL-ABL DIR-ask-NAR,"And the stomach asked him,",3,21,5
140,ha,ha,EXCL,“Hah!,3,21,6
141,ʔũ ȵiχuɑȵi kəzeinwɑ,ʔũ ȵi-χuɑ-ȵi kə-zei-n-wɑ,2SG WH-because-ADVZ thus-cry-2SG-Q,"Why are you crying like this?”,",3,22,1
142,jəkui,jə-kui,say-NAR,"he said,",3,23,1
143,ȵiχuɑȵi kəzeinwɑ,ȵi-χuɑ-ȵi kə-zei-n-wɑ,WH-because-ADVZ thus-cry-2SG-Q,"Why are you crying like this?”,",3,23,2
144,jəkuitu,jə-kui-tu,say-NAR-LNK,he said.,3,24,1
145,kɑpətʂ tou heʐguekəi,kɑpətʂ tou he-ʐgue-kəi,orphan DEF:one:CL DIR-answer-NAR,"The orphan answered,",3,25,1
146,qɑŋuəȵi ep lə meʐəji ew lə meʐəji,qɑ-ŋuəȵi ep lə me-ʐə-ji ew lə me-ʐə-ji,1SG-TOP father also NEG-exist-CSM mother also NEG-exist-CSM,“I have neither father nor mother.,3,25,2
147,gəsȵi ɦɑxtʂəpȵiɑufu ʂkuple: qɑ dzəlɑ:,gəs-ȵi ɦɑ-xtʂəp-ȵiɑufu ʂkup-le: qɑ dzə-lɑ:,night-ADVZ DIR-get.dark-as.soon.as orangutan-DEF:CL 1SG eat-come:PRS,"At night, as soon as it gets dark, the orangutan is going to come eat me.”,",3,25,3
148,jəkəpəʂə,jə-kəpə-ʂə,say-HABIT-LNK,he said.,3,25,4
149,qɑ quɑwɑ,qɑ qu-ɑ-wɑ,1SG be.afraid-1SG-EMPH,"“I'm afraid.”,",3,25,5
150,jəkui,jə-kui,say-NAR,he said.,3,25,6
151,ha,ha,EXCL,“Hah!,3,26,1
152,ke:ji mɑŋ̥u̥əta,ke:-ji mɑ-ŋ̥u̥ə-ta,INDEF:CL-EXC NEG-COP-if,"If that's all it is,",3,27,1
153,ʐə mewwɑ,ʐə me-w-wɑ,matter NEG-exist-EMPH,"there's no problem,",3,27,2
154,qɑŋuəȵi ʔũgul hɑŋ̥u̥əlɑwɑ,qɑ-ŋuəȵi ʔũ-gul hɑ-ŋ̥u̥ə-lɑ-wɑ,1SG-TOP 2SG-companion DIR-COP-INDTV:1SG-EMPH,let me come be your companion at night.,3,27,3
155,mahaŋuəȵi qɑ ʔũgul zuluɑ:wɑ,maha-ŋuəȵi qɑ ʔũ-gul zu-lu-ɑ:-wɑ,evening-TOP 1SG 2SG-companion DIR-come-1SG:PRS-EMPH,"I'll come be your companion.”,",3,27,4
156,jəkui,jə-kui,say-NAR,said the stomach.,3,27,5
157,ɦɑtsɑtɑu ŋuətu,ɦɑ-tsɑ-tɑu ŋuə-tu,EMPH-this:one-time COP-LNK,"The orphan still was crying,",3,28,1
158,ɦɑlɑ ɦezei ɦezeiȵi dɑqəjəkəi,ɦɑlɑ ɦe-zei ɦe-zei-ȵi dɑ-qə-jə-kəi,INT DIR-cry DIR-cry-ADVZ DIR-go-REP-NAR,crying as he walked.,3,28,2
159,dɑqɑ dɑqɑtu ɦɑlɑ thəlle:ȵɑ etʂepekəistu,dɑ-qɑ dɑ-qɑ-tu ɦɑlɑ thəl-le:-ȵɑ e-tʂepe-kəi-stu,DIR-go DIR-go-LNK INT stone.pestle-DEF:CL-and DIR-encounter-NAR-PART,"He walked a while and also came across a stone mortar,",3,28,3
160,thəlle:ȵɑ etʂepekəitu,thəl-le:-ȵɑ e-tʂepe-kəi-tu,stone.pestle-DEF:CL-and DIR-encounter-NAR-LNK,he came across a stone mortar.,3,28,4
161,ha,ha,EXCL,“Hah!,3,28,5
162,ʔũ ȵiχuɑȵi kəzeinwɑ,ʔũ ȵi-χuɑ-ȵi kə-zei-n-wɑ,2SG WH-because-ADVZ thus-cry-2SG-Q,"Why are you crying like this?”,",3,29,1
163,jəkui,jə-kui,say-NAR,"said the stone mortar,",3,30,1
164,təkeʴlkui,tə-keʴl-kui,DIR-ask-NAR,asked him.,3,30,2
165,ɦa,ɦa,EXCL,"“Ah,",3,31,1
166,qɑŋuəȵi ep lə meʐəji ew lə meʐəji,qɑ-ŋuəȵi ep lə me-ʐə-ji ew lə me-ʐə-ji,1SG-TOP father also NEG-exist-CSM mother also NEG-exist-CSM,I have neither father nor mother.,3,31,2
167,ɦɑxtʂəpɑ: ququ,ɦɑ-xtʂəpɑ: ququ,DIR-get.dark:PRS afraid,I'm afraid of when it will get dark.,3,31,3
168,pəs lə ɦɑxtʂəpja,pəs lə ɦɑ-xtʂəp-ja,today also DIR-get.dark-REP,"When it gets dark again today,",3,31,4
169,ʂkuple:ŋuəȵi maha qɑ dzəlɑ:,ʂkup-le:-ŋuəȵi maha qɑ dzə-lɑ:,orangutan-DEF:CL-TOP evening 1SG eat-come:PRS,"the orangutan is going to come eat me.”,",3,31,5
170,jəkəpəwɑ,jə-kəpə-wɑ,say-HABIT-EMPH,"the orphan said,",3,31,6
171,jəkui,jə-kui,say-NAR,he said.,3,31,7
172,ɦɑtuŋuəȵi,ɦɑ-tu-ŋuəȵi,EMPH-RESULT-TOP,"And so,",3,32,1
173,ke:ji mɑŋ̥u̥əta,ke:-ji mɑ-ŋ̥u̥ə-ta,INDEF:CL-EXC NEG-COP-if,"“If that's all it is,",3,32,2
174,ʐə mew,ʐə me-w,matter NEG-exist,"no problem,",3,32,3
175,qɑŋuəȵi ʔũgul zuluɑ:,qɑ-ŋuəȵi ʔũ-gul zu-lu-ɑ:,1SG-TOP 2SG-companion DIR-come-1SG:PRS,I'll come be your companion.,3,32,4
176,mahaȵi qɑ ʔũgul zulůlɑwɑ,maha-ȵi qɑ ʔũ-gul zu-lů-lɑ-wɑ,evening-ADVZ 1SG 2SG-companion DIR-come-INDTV:1SG-EMPH,"Let me come be your companion.”,",3,32,5
177,jəkuitɕu,jə-kui-tɕu,say-NAR-PART,said the stone mortar.,3,32,6
178,ɦɑ tsɑtɑutuŋuəȵi,ɦɑ tsɑ-tɑu-tu-ŋuəȵi,EMPH this:one-time-LNK-TOP,At this time,3,33,1
179,kɑpətʂ touŋuəȵi ɦɑtsɑχsəʴwu gul ɦesekeistu,kɑpətʂ tou-ŋuəȵi ɦɑ-tsɑ-χsəʴwu gul ɦe-se-kei-stu,orphan DEF:one:CL-TOP EMPH-this:one-few:all companion DIR-make.friends-NAR-PART,"the orphan had made friends with these (things) mentioned,",3,33,2
180,gul ɦesekəitu,,,he had made friends.,3,34,1
181,maha pekkui,,,"When night came,",3,34,2
182,tsɑχuitu ɦɑxtʂəpji maha ipəlkui,,,"the time it got dark and night came, they all came.",3,34,3
183,qusɑp lə ipəlkui,,,"(The needle came, and) the scissors came,",3,34,4
184,ɕtɕiɕtɕɑq tou lə ipəlkui,,,"and the magpie came,",3,34,5
185,noʁu lə ipəlkui,,,"and the crow came,",3,34,6
186,ɦɑ χsutsqhɑ,,,"and the stomach,",3,34,7
187,thəl,,,"the stone pestle,",3,34,8
188,jɑnkhui ʂəʂe:ʴwu ipəlkuitɕu,,,and a stone mordard all came.,3,34,9
189,tsɑχuitu,,,"After they came,",3,35,1
190,ʐmə ɑlɑ ɦotsukəi,,,they held a meeting.,3,35,2
191,kɑpətʂ touŋuəȵi ɕtɕi:ků kən ɦɑnɑkui,,,The orphan was extremely happy.,3,35,3
192,ɦa,,,"“Ha,",3,35,4
193,pəmahaŋuəȵi qɑ gul lɑhɑ ipəljy,,,Tonight my companions have come.,3,35,5
194,pəmahaŋuəȵi ʂkupte: moquɑwɑ,,,"Tonight I'm not afraid of the orangutan,",3,35,6
195,ɦɑkə moqujawɑ ike ʐikəi,,,I am not afraid.”,3,35,7
196,thɑχsɑ ipəlkutu,,,"After these [things] had all come, they told him,",3,36,1
197,maha tɕoqunpɑ,,,"“Don't be afraid tonight,",3,36,2
198,dotɕuqunpɑ,,,don't be afraid.,3,36,3
199,tɕile tsɑχsəʴwu gulpɑʂ,,,We'll all be your companions.,3,36,4
200,ʂkuple: imepəlȵi mɑŋ̥u̥ətɕi,,,"If the orangutan comes,",3,36,5
201,ipəltu,i-pə-l-tu,DIR-arrive-come-LNK,"when he comes,",3,37,1
202,tɕile pəmaha tse: qəta:wɑ,tɕile pəmaha tse: qəta:-wɑ,1PL tonight this:CL beat.to.death:PRS-EMPH,"we will beat him to death tonight.”,",3,37,2
203,jəkuitɕu,jə-kui-tɕu,say-NAR-PART,they said.,3,37,3
204,tu ʂkuple: lə moquke: ɦɑləkəi,tu ʂkup-le: lə mo-qu-ke: ɦɑ-lə-kəi,RESULT orangutan-DEF:CL also NEG-be.afraid-INDEF:CL DIR-come-NAR,"The orangutan wasn't afraid, and still came.",3,38,1
205,kɑpətʂ touŋuəȵi ɦɑtsəi moquke: ʐikəi,kɑpətʂ tou-ŋuəȵi ɦɑ-tsəi mo-qu-ke: ʐi-kəi,orphan DEF:one:CL-TOP EMPH-this:manner NEG-be.afraid-INDEF:CL exist-NAR,The orphan was not afraid.,3,38,2
206,tu themahaŋuəȵi tɕiu ʂəʂe:ʴwu ȵiɑntɕi gɑnphaitupůkəistu,tu the-maha-ŋuəȵi tɕiu ʂəʂe:ʴwu ȵiɑntɕi gɑnphai-tu-pů-kəi-stu,RESULT that-evening-TOP †(then) all.of.them together arrange-DIR-do-NAR-PART,"That night everybody made a plan together,",3,39,1
207,χale:ŋuəȵi tɕɑlɑ jes ŋuə,χa-le:-ŋuəȵi tɕɑ-lɑ je-s ŋuə,needle-DEF:CL-TOP where-LOC live/stay-NMLZ COP,"where the needle should stay,",3,39,2
208,tɕɑlɑ tɕɑlɑ nəs ŋuə,tɕɑ-lɑ tɕɑ-lɑ nə-s ŋuə,where-LOC where-LOC sleep-NMLZ COP,where (each of them) should sleep,3,39,3
209,tɕɑlɑ tɕɑlɑ ȵiɣi ŋuəs ŋuə,tɕɑ-lɑ tɕɑ-lɑ ȵiɣi ŋuə-s ŋuə,where-LOC where-LOC what COP-NMLZ COP,and what-not,3,39,4
210,ɦɑtsəi gɑnphaitupůkəitɕu,ɦɑ-tsəi gɑnphai-tu-pů-kəi-tɕu,EMPH-this:manner arrange-DIR-do-NAR-PART,and it was all settled.,3,39,5
211,χale:ŋuəȵi ɦɑlɑ dʑyle:ʁɑ ətʂəȵi ɦɑlɑ dʑyle:ʁɑ ʐikəi,χa-le:-ŋuəȵi ɦɑlɑ dʑy-le:-ʁɑ ə-tʂə-ȵi ɦɑlɑ dʑy-le:-ʁɑ ʐi-kəi,needle-DEF:CL-TOP INT door-DEF:CL-LOC DIR-stab-ADVZ INT door-DEF:CL-LOC exist-NAR,"The needle was above the door to stab (the orangutan) in the doorway,",3,40,1
212,qusɑptouŋuəȵi ɦɑlɑ kɑpətʂtoupienɑlɑ nəʂte:pienɑ thɑ ɦɑnəkəi,qusɑp-tou-ŋuəȵi ɦɑlɑ kɑpətʂ-tou-pienɑ-lɑ nəʂ-te:-pienɑ thɑ ɦɑ-nə-kəi,scissors-DEF:one:CL-TOP INT orphan-DEF:one:CL-beside-LOC bed-DEF:CL-beside there DIR-sleep-NAR,"the scissors slept beside the orphan on the bed,",3,40,2
213,ɕtɕiɕtɕɑqtouŋuəȵi ɦɑlɑ məlɑwʐɑχuɑ ɦɑnəkuitɕu,ɕtɕiɕtɕɑq-tou-ŋuəȵi ɦɑlɑ mə-lɑw-ʐɑχuɑ ɦɑ-nə-kui-tɕu,magpie-DEF:one:CL-TOP INT fire-DEF:one:pile-inside DIR-sleep-NAR-PART,"the magpie slept in the fire pile,",3,40,3
214,noʁule:ŋuəȵi ɦɑlɑ ʂuətʂhuɑ ʐɑχuɑ ɦɑnəkui,noʁu-le:-ŋuəȵi ɦɑlɑ ʂuətʂhuɑ ʐɑχuɑ ɦɑ-nə-kui,crow-DEF:CL-TOP INT water.jar inside DIR-sleep-NAR,"the crow slept in the water jar,",3,40,4
215,ɦɑ tsəiŋuəȵi,ɦɑ tsəi-ŋuəȵi,EMPH this:manner-TOP,"like that,",3,40,5
216,χsutsqhɑle:ŋuəȵi buzdte:qəpɑtʂɑ: ɦɑnəkuitɕu,χsutsqhɑ-le:-ŋuəȵi buzd-te:-qəpɑtʂɑ: ɦɑ-nə-kui-tɕu,stomach-DEF:CL-TOP plank.stairs-DEF:CL-head:LOC DIR-sleep-NAR-PART,"the stomach slept at the head of the stairs,",3,40,6
217,jɑnkhuile:ŋuəȵi buzdle:kutɑ ɦɑnəkuitɕu,jɑnkhui-le:-ŋuəȵi buzd-le:-ku-tɑ ɦɑ-nə-kui-tɕu,stone.mortar-DEF:CL-TOP plank.stairs-DEF:CL-base-LOC DIR-sleep-NAR-PART,"the stone mortar was at the foot of the stairs,",3,40,7
218,ɦɑ thəlle:ŋuəȵi buzdle:qəpɑtʂɑ: ijekuitɕu,ɦɑ thəl-le:-ŋuəȵi buzd-le:-qəpɑtʂɑ: i-je-kui-tɕu,EMPH stone.pestle-DEF:CL-TOP plank.stairs-DEF:CL-head:LOC DIR-live/stay-NAR-PART,and the stone pestle was at the head of the stairs.,3,40,8
219,hi,hi,EXCL,"So,",3,41,1
220,ɦɑxtʂəp ʂkupte: zəlɑjəkui,ɦɑ-xtʂəp ʂkup-te: zə-lɑ-jə-kui,DIR-get.dark orangutan-DEF:CL DIR-come-REP-NAR,"when it got dark, the orangutan came",3,41,2
221,tsou tɕymiloutɑ zəlɑkuitu,tsou tɕymi-lou-tɑ zə-lɑ-kui-tu,this:one:CL child-DEF:one:CL-DAT DIR-come-NAR-LNK,"towards the orphan, the same as before.",3,41,3
222,dʑyla:ʁɑ qeʴ ʂpɑʂpɑ dʑyle:tɑ dzeke iɕtɕikəitɕu,dʑy-la:-ʁɑ qeʴ ʂpɑʂpɑ dʑy-le:-tɑ dzeke i-ɕtɕi-kəi-tɕu,door-DEF:CL-LOC before like/as door-DEF:CL-LOC (onomatopoeia) DIR-push-NAR-PART,"When he pushed the door with a creak,",3,41,4
223,dʑyle: iɕtɕi,dʑy-le: i-ɕtɕi,door-DEF:CL DIR-push,"he pushed the door,",3,41,5
224,χalɑhɑ thɑ ʐikuiȵiɑu,χa-lɑ-hɑ thɑ ʐi-kui-ȵiɑu,needle-DEF:one-PL there exist-NAR-PART,"the needle was there,",3,41,6
225,χalɑhɑ jɑpəle:tɑ ətʂəȵiɑufu sɑqphike: əʂəkuitɕu,χa-lɑ-hɑ jɑpə-le:-tɑ ə-tʂə-ȵiɑufu sɑq-phi-ke: ə-ʂə-kui-tɕu,needle-DEF:one-PL hand-DEF:CL-LOC DIR-stab-as.soon.as blood-flow-INDEF:CL DIR-put-NAR-PART,"and as soon as the needle pricked his hand, his hand was all covered with blood,",3,41,7
226,tu χaiʂə tɕəulɑ əʁə ɕtɕɑq tɕolukuiʂə,tu χaiʂə tɕəu-lɑ ə-ʁə ɕtɕɑq tɕo-lu-kui-ʂə,RESULT †(still.is) home-LOC DIR-go heart CONT-come-NAR-LNK,but he still wanted to go in the room.,3,41,8
227,əqɑjəkui,ə-qɑ-jə-kui,DIR-go-REP-NAR,He went in.,3,41,9
228,əqɑȵiɑufu kɑpətʂtou nəʂta:ʁɑ mothɑjəkui,ə-qɑ-ȵiɑufu kɑpətʂ-tou nəʂ-ta:-ʁɑ mo-thɑ-jə-kui,DIR-go-as.soon.as orphan-DEF:one:CL bed-DEF:CL-LOC grope.for-there-REP-NAR,Once he was in the room and going to look for the orphan,3,41,10
229,χaiʂə tɕɑlɑ nə meʴʐkəi,χaiʂə tɕɑ-lɑ nə meʴʐ-kəi,†(still.is) where-LOC sleep seek-NAR,"where he was sleeping,",3,41,11
230,kɑpətʂ tou nəʂta:ʁɑŋuəȵi,kɑpətʂ tou nəʂ-ta:-ʁɑ-ŋuəȵi,orphan DEF:one:CL bed-DEF:CL-LOC-TOP,"in the bed,",3,41,12
231,kɑpətʂtou meʴʐ kɑntɕhi qusɑpte:wu jɑpəle:xʂe tutuɑkui,kɑpətʂ-tou meʴʐ kɑntɕhi qusɑp-te:-wu jɑpə-le:-xʂe tu-tuɑ-kui,orphan-DEF:one:CL seek think/want scissors-DEF:CL-ABL hand-DEF:CL-CL DIR-cut-NAR,"when he was looking for the orphan, the scissors cut off his hand.",3,41,13
232,thɑχui tu,thɑ-χui tu,that:one-time RESULT,At that time.,3,41,14
233,χtʂɑpke: ŋuəkuiȵiɑu,χtʂɑp-ke: ŋuə-kui-ȵiɑu,black-INDEF:CL COP-NAR-PART,It was dark,3,41,15
234,qusɑpte:wu jɑpəle: tutuɑ,qusɑp-te:-wu jɑpə-le: tu-tuɑ,scissors-DEF:CL-ABL hand-DEF:CL DIR-cut,"and the scissors had cut off his hand,",3,41,16
235,sɑ tuetueke:tɕi dɑqɑjɑntɕi,sɑ tuetue-ke:-tɕi dɑ-qɑ-jɑntɕi,blood dripping-INDEF:CL-ADVZ DIR-go-after,and blood was dripping down.,3,41,17
236,məlɑw qhəʴqhəʴkəi,mə-lɑw qhəʴqhəʴ-kəi,fire-DEF:one:pile open-NAR,"Then he went over to the fire pile,",3,41,18
237,məlɑw iʂueȵi ȵiɣilɑhɑ kəʐi,mə-lɑw i-ʂue-ȵi ȵiɣi-lɑ-hɑ kə-ʐi,fire-DEF:one:pile DIR-set.fire-ADVZ what-DEF:one-PL thus-exist,"thinking to light it, what thing it was,",3,41,19
238,ɑʂ tse kɑntɕhikəi,ɑ-ʂ tse kɑntɕhi-kəi,one-time see think/want-NAR,he wanted to see.,3,41,20
239,məlɑw daqheʴ kɑntɕhi mepeȵiɑufu,mə-lɑw da-qheʴ kɑntɕhi me-pe-ȵiɑufu,fire-DEF:one:pile DIR-open think/want NEG-correct-as.soon.as,"As soon as the orangutan wanted to touch the fire pile,",3,41,21
240,xsə ɕtɕiɕtɕɑqlɑhɑ daʂpjəkuistu,xsə ɕtɕiɕtɕɑq-lɑ-hɑ da-ʂp-jə-kui-stu,new magpie-DEF:one-PL DIR-explode-REP-NAR-PART,the magpie inside the fire pile burst out,3,41,22
241,tʂhəqtʂhɑqtʂhəqtʂhɑqlɑhɑ dɑʂpȵiɑufu mi: dɑqəkui,tʂhəqtʂhɑqtʂhəqtʂhɑq-lɑ-hɑ dɑ-ʂp-ȵiɑufu mi: dɑ-qə-kui,(onomatopoeia)-DEF:one-PL DIR-explode-as.soon.as eyes DIR-go-NAR,with a lot of noise and (the ashes) got into the orangutan's eyes.,3,41,23
242,mi: dɑqəkui,mi: dɑ-qə-kui,eyes DIR-go-NAR,"It got into his eyes,",3,41,24
243,ɦɑ tsɑχuitu,ɦɑ tsɑ-χui-tu,EMPH this:one-time-LNK,"then,",3,41,25
244,mi: dɑqɑ,mi: dɑ-qɑ,eyes DIR-go,"into his eyes,",3,41,26
245,mi: dɑqətu,mi: dɑ-qə-tu,eyes DIR-go-LNK,into his eyes.,3,41,27
246,ʂuətʂhuɑla:ʁɑ səlȵiɑntɕi,ʂuətʂhuɑ-la:-ʁɑ sə-l-ȵiɑntɕi,water.jar-DEF:CL-LOC DIR-see-after,He looked around and saw the water jar,3,41,28
247,tsəloqu ŋuəȵiantɕi,tsə-lo-qu ŋuə-ȵiantɕi,water-DEF:one-CL COP-after,and after a mouthful of water,3,41,29
248,quahaloqu χuəlɑ kɑntɕhikəiwɑ,quaha-lo-qu χuəlɑ kɑntɕhi-kəi-wɑ,face-DEF:one-CL wash think/want-NAR-EMPH,"wanted to wash his face,",3,41,30
249,quaha χuəlɑ kɑntɕhi ʂuətʂhuɑla:ʁɑ sutʂhu,quaha χuəlɑ kɑntɕhi ʂuətʂhuɑ-la:-ʁɑ su-tʂhu,face wash think/want water.jar-DEF:CL-LOC DIR-reach.out,"Wanting to get some water to wash his face, he reached for the water jar,",3,41,31
250,noʁuletɕi thɑ ʐijəkuistu,noʁu-le-tɕi thɑ ʐi-jə-kui-stu,crow-DEF-CL there exist-REP-NAR-PART,but the crow was there,3,41,32
251,noʁuletɕiwu tshuɑq tshuɑq dɑsəʐ,noʁu-le-tɕi-wu tshuɑq tshuɑq dɑ-sə-ʐ,crow-DEF-CL-ABL peck peck DIR-make.sound-CAUS,"and the crow came out and pecked,",3,41,33
252,miɑuʁdʐuela:ʁɑ itshuetekuistu,miɑuʁdʐue-la:-ʁɑ i-tshuete-kui-stu,eye-DEF:CL-LOC DIR-peck-NAR-PART,pecked his eyes.,3,41,34
253,ɦɑtsɑχuitu,ɦɑ-tsɑ-χui-tu,EMPH-this:one-time-LNK,This time,3,42,1
254,miɑuʁdʐue lə melejy,miɑuʁdʐue lə me-le-jy,eye also NEG-exist-CSM,the orangutan had no eyes,3,42,2
255,japə exʂe lə mewe̊jy,japə e-xʂe lə me-we̊-jy,hand one-CL also NEG-exist-CSM,and no hand,3,42,3
256,ɦɑlɑ sɑq tuetueke:tɕi duɸuȵi hɑʁ kɑntɕhikəi,ɦɑlɑ sɑq tuetue-ke:-tɕi du-ɸu-ȵi hɑ-ʁ kɑntɕhi-kəi,INT blood dripping-INDEF:CL-ADVZ DIR-run.away-ADVZ DIR-go think/want-NAR,and was covered with blood. He wanted to escape covered with blood.,3,43,1
257,duɸuȵi buzdqətɑ hɑʁ kɑntɕhikeitu,du-ɸu-ȵi buzd-qə-tɑ hɑ-ʁ kɑntɕhi-kei-tu,DIR-run.away-ADVZ plank.stairs-head-LOC DIR-go think/want-NAR-LNK,He ran away to the head of the stairs,3,43,2
258,səqɑ,sə-qɑ,DIR-go,"he went,",3,43,3
259,səqɑȵiɑufu,sə-qɑ-ȵiɑufu,DIR-go-as.soon.as,"and as soon as he went,",3,43,4
260,χsutsqhɑla:ʁɑ ɦetʂßhue,χsutsqhɑ-la:-ʁɑ ɦe-tʂßhue,stomach-DEF:CL-LOC DIR-step.on,"he stepped on the stomach,",3,43,5
261,χsutsqhɑla:ʁɑ ɦetʂhue,χsutsqhɑ-la:-ʁɑ ɦe-tʂhue,stomach-DEF:CL-LOC DIR-step.on,"he stepped on the stomach,",3,43,6
262,dɑɬɑ buzdle:tɑ dʑiq ɦɑqəistu,dɑ-ɬɑ buzd-le:-tɑ dʑiq ɦɑ-qə-i-stu,DIR-slip plank.stairs-DEF:CL-LOC floor DIR-go-HSY-PART,and slipped and rolled down the staircase,3,43,7
263,dʑiq ɦɑqəȵiɑufu tʂhəlɑ buzdkuətɑ jɑnkhuile:ʐɑχuɑ ɦɑqɑ,dʑiq ɦɑ-qə-ȵiɑufu tʂhə-lɑ buzd-kuə-tɑ jɑnkhui-le:-ʐɑχuɑ ɦɑ-qɑ,floor DIR-go-as.soon.as ground.floor-LOC plank.stairs-foot-LOC stone.mortar-DEF:CL-inside DIR-go,and into the stone mortar at the foot of the stairs.,3,44,1
264,xsə thəlle: qəpɑtʂɑ: ʂə,xsə thəl-le: qəpɑtʂɑ: ʂə,new stone.pestle-DEF:CL head:LOC exist,Then the stone pestle was there,3,44,2
265,ɦɑlɑ,ɦɑ-lɑ,DIR-come,and came,3,44,3
266,thəlle:wu ɦetɕite ɦetɕite,thəl-le:-wu ɦe-tɕite ɦe-tɕite,stone.pestle-DEF:CL-ABL DIR-pound DIR-pound,and pounded and pounded,3,44,4
267,ɦetɕiteȵiɑufu,ɦe-tɕite-ȵiɑufu,DIR-pound-as.soon.as,"and pounded down on him,",3,44,5
268,ɦɑtsu ʂkupte:ŋuəȵi ȵiqətiȵi daʁukuiwɑ,ɦɑ-tsu ʂkup-te:-ŋuəȵi ȵi-qəti-ȵi da-ʁu-kui-wɑ,EMPH-here orangutan-DEF:CL-TOP DIR-beat.to.death-ADVZ DIR-throw-NAR-EMPH,and in this way pounded the orangutan to death and then (they) threw him away.,3,44,6
